layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.0.self_attn.k_proj,3.88899880250295,32.19183228810628,130.36207529703776,1051.441005452474,4.049538717796536,141.2654270230346,True
model.layers.8.self_attn.k_proj,-3.757559009393056,24.97476749420166,217.4970962524414,637.8608459472656,8.70867316759862,92.60549782999726,True
model.layers.1.self_attn.k_proj,1.6134841740131378,18.440041319529215,148.11635564168293,342.640700785319,8.032321893579278,54.39791879101005,True
model.layers.21.mlp,-0.27425904010112084,17.149652242660522,1545.9787068684896,354.61653893788656,90.14635368969438,53.78702871344724,True
model.layers.21.mlp.down_proj,-0.27425904010112084,17.149652242660522,1545.9787068684896,354.61653893788656,90.14635368969438,53.78702871344724,True
model.layers.2.self_attn.k_proj,0.4074565182129542,11.97753766377767,62.5223108291626,143.63236185709636,5.219963181437421,26.800429999514634,True
model.layers.3.mlp,0.1640466581719617,9.450974718729656,848.379219563802,107.89993891716003,89.76631035909975,21.302678372208618,True
model.layers.3.mlp.down_proj,0.1640466581719617,9.450974718729656,848.379219563802,107.89993891716003,89.76631035909975,21.302678372208618,True
model.layers.2.mlp.down_proj,0.12338453754782677,7.860389995574951,705.0557749430338,74.87455423672994,89.69729054699044,16.368202862265676,True
model.layers.2.mlp,0.12338453754782677,7.860389995574951,705.0557749430338,74.87455423672994,89.69729054699044,16.368202862265676,True
model.layers.0.self_attn.q_proj,-0.1548623189330101,7.875730125109355,80.10171025594076,62.0543404897054,10.170701485803775,14.337733507870942,False
model.layers.3.post_attention_layernorm,0.05299981927043215,3.832162294785182,336.3326385498047,17.363364692529043,87.76573769898768,6.4991559602983955,False
model.layers.21.post_attention_layernorm,0.07579801045358181,3.185166730483373,256.7506072998047,11.491799696286519,80.60819053345139,5.216226615900121,False
model.layers.3.self_attn.k_proj,0.10028982708851496,3.377971331278483,24.464825693766276,11.431347370147705,7.242458876063948,4.693820484142408,False
model.layers.7.self_attn.q_proj,0.35134920428196587,2.7236836791038512,25.321060943603516,7.54708735148112,9.296619809872658,3.9227078166326557,False
model.layers.9.self_attn.q_proj,0.1265398142238458,2.8601980487505596,26.381326166788735,8.212685791651408,9.223597979417926,3.9002424219337253,False
